Inst | Solucao | Custo | Estados Avaliados | Tempo (s)
-----+---------+-------+-------------------+----------
1 | Sim | 57 | 2196071 | 3.46946
2 | Sim | 55 | 1648879 | 2.70992
3 | Sim | 59 | 14827414 | 28.4109
4 | Sim | 56 | 2482508 | 3.63066
5 | Sim | 56 | 559594 | 0.645448
6 | Sim | 52 | 456868 | 0.52775
7 | Sim | 52 | 7168957 | 13.2054
8 | Sim | 50 | 802413 | 1.0674
9 | Sim | 46 | 33972 | 0.0226935
10 | Sim | 59 | 9159925 | 16.3053
11 | Sim | 57 | 3088379 | 4.70281
12 | Sim | 45 | 47520 | 0.0334329
13 | Sim | 46 | 259060 | 0.23632
14 | Sim | 59 | 4575604 | 7.41997
15 | Sim | 62 | 14025045 | 26.5631
16 | Sim | 42 | 254003 | 0.233332
17 | Sim | 66 | 15106752 | 27.7004
18 | Sim | 55 | 1280713 | 1.67406
19 | Sim | 46 | 155228 | 0.123974
20 | Sim | 52 | 1079906 | 1.51024
21 | Sim | 54 | 2969876 | 5.01579
22 | Sim | 59 | 6980299 | 12.6815
23 | Sim | 49 | 249892 | 0.222234
24 | Sim | 54 | 2188007 | 3.51801
25 | Sim | 52 | 2090474 | 3.26965
26 | Sim | 58 | 7729658 | 13.9228
27 | Sim | 53 | 2032297 | 3.07602
28 | Sim | 52 | 787161 | 1.09761
29 | Sim | 54 | 557020 | 0.638434
30 | Sim | 47 | 128369 | 0.0976906
31 | Sim | 50 | 178965 | 0.140421
32 | Sim | 59 | 7684939 | 13.9311
33 | Sim | 60 | 4628431 | 7.41071
34 | Sim | 52 | 237286 | 0.215983
35 | Sim | 55 | 1952902 | 3.01643
36 | Sim | 52 | 480206 | 0.555042
37 | Sim | 58 | 4260153 | 6.97881
38 | Sim | 53 | 287457 | 0.256069
39 | Sim | 49 | 462915 | 0.554289
40 | Sim | 54 | 3488412 | 6.17689
41 | Sim | 54 | 3529750 | 6.15314
42 | Sim | 42 | 46564 | 0.0327526
43 | Sim | 64 | 3249832 | 5.50861
44 | Sim | 50 | 242744 | 0.218057
45 | Sim | 51 | 140157 | 0.102223
46 | Sim | 49 | 147997 | 0.107346
47 | Sim | 47 | 138298 | 0.103856
48 | Sim | 49 | 60298 | 0.0413079
49 | Sim | 59 | 17583277 | 32.5463
50 | Sim | 53 | 440680 | 0.516896
51 | Sim | 56 | 987360 | 1.32429
52 | Sim | 56 | 2322292 | 3.54963
53 | Sim | 64 | 20037525 | 35.5797
54 | Sim | 56 | 3144510 | 4.89389
55 | Sim | 41 | 27734 | 0.0186885
56 | Sim | 55 | 15352220 | 29.6422
57 | Sim | 50 | 846915 | 1.15065
58 | Sim | 51 | 256758 | 0.241444
59 | Sim | 57 | 9951803 | 17.5017
60 | Sim | 66 | 34773494 | 64.7374
61 | Sim | 45 | 129949 | 0.0992416
62 | Sim | 57 | 2176217 | 3.37067
63 | Sim | 56 | 2125744 | 3.22558
64 | Sim | 51 | 3106362 | 5.24167
65 | Sim | 47 | 251131 | 0.233676
66 | Sim | 61 | 29594294 | 58.2322
67 | Sim | 50 | 3230987 | 5.67815
68 | Sim | 51 | 1659772 | 2.68658
69 | Sim | 53 | 1225375 | 1.65667
70 | Sim | 52 | 4235108 | 7.24367
71 | Sim | 44 | 114290 | 0.0869927
72 | Sim | 56 | 6988278 | 12.8035
73 | Sim | 49 | 179551 | 0.145219
74 | Sim | 56 | 205826 | 0.172406
75 | Sim | 48 | 1097845 | 1.58682
76 | Sim | 57 | 4052023 | 6.81236
77 | Sim | 54 | 1133634 | 1.57325
78 | Sim | 53 | 443394 | 0.504931
79 | Sim | 42 | 30228 | 0.0196874
80 | Sim | 57 | 5186398 | 8.46577
81 | Sim | 53 | 226559 | 0.203132
82 | Sim | 62 | 45938036 | 82.4417
83 | Sim | 49 | 233549 | 0.21288
84 | Sim | 55 | 6957540 | 12.894
85 | Sim | 44 | 119930 | 0.094771
86 | Sim | 45 | 64493 | 0.0456046
87 | Sim | 52 | 1812423 | 2.8407
88 | Sim | 65 | 61954173 | 144.704
89 | Sim | 54 | 1824468 | 2.85231
90 | Sim | 50 | 289179 | 0.260631
91 | Sim | 57 | 7945495 | 14.1405
92 | Sim | 57 | 9039490 | 15.6939
93 | Sim | 46 | 233715 | 0.213048
94 | Sim | 53 | 41016 | 0.0264565
95 | Sim | 50 | 666364 | 0.808572
96 | Sim | 49 | 367938 | 0.391791
97 | Sim | 44 | 122775 | 0.0959766
98 | Sim | 54 | 6560780 | 11.6636
99 | Sim | 57 | 3914849 | 6.47777
100 | Sim | 54 | 1974646 | 3.09215
