Inst | Solucao | Custo | Estados Avaliados | Tempo (s)
-----+---------+-------+-------------------+----------
1 | Sim | 57 | 3696531 | 1.17795
2 | Sim | 55 | 1712318 | 0.597359
3 | Sim | 59 | 61539647 | 20.6018
4 | Sim | 56 | 10514047 | 3.45544
5 | Sim | 56 | 1252581 | 0.420434
6 | Sim | 52 | 2098557 | 0.714708
7 | Sim | 52 | 45547087 | 15.6213
8 | Sim | 50 | 2345502 | 0.773211
9 | Sim | 46 | 41724 | 0.0150263
10 | Sim | 59 | 24899361 | 8.25036
11 | Sim | 57 | 12387944 | 4.13843
12 | Sim | 45 | 98824 | 0.0349468
13 | Sim | 46 | 763130 | 0.260628
14 | Sim | 59 | 16573880 | 5.12418
15 | Sim | 62 | 55113226 | 17.6601
16 | Sim | 42 | 1105253 | 0.392898
17 | Sim | 66 | 152816248 | 48.0511
18 | Sim | 55 | 3757325 | 1.22338
19 | Sim | 46 | 224109 | 0.0823611
20 | Sim | 52 | 2061186 | 0.699466
21 | Sim | 54 | 5897848 | 2.0394
22 | Sim | 59 | 37270510 | 12.3647
23 | Sim | 49 | 202598 | 0.0670172
24 | Sim | 54 | 9216902 | 3.33091
25 | Sim | 52 | 4530035 | 1.5548
26 | Sim | 58 | 28573458 | 9.42047
27 | Sim | 53 | 9290116 | 3.17271
28 | Sim | 52 | 880010 | 0.30015
29 | Sim | 54 | 2464939 | 0.792982
30 | Sim | 47 | 337668 | 0.114532
31 | Sim | 50 | 300776 | 0.0986489
32 | Sim | 59 | 78692841 | 25.6734
33 | Sim | 60 | 9143315 | 2.90422
34 | Sim | 52 | 654219 | 0.215842
35 | Sim | 55 | 6104386 | 1.97857
36 | Sim | 52 | 3631613 | 1.22321
37 | Sim | 58 | 10527280 | 3.3253
38 | Sim | 53 | 2288578 | 0.732375
39 | Sim | 49 | 1635546 | 0.592972
40 | Sim | 54 | 6423390 | 2.27052
41 | Sim | 54 | 7758515 | 2.75749
42 | Sim | 42 | 123159 | 0.0437914
43 | Sim | 64 | 5137793 | 1.55736
44 | Sim | 50 | 887702 | 0.295628
45 | Sim | 51 | 755769 | 0.249694
46 | Sim | 49 | 700820 | 0.225307
47 | Sim | 47 | 115832 | 0.040009
48 | Sim | 49 | 121171 | 0.0408471
49 | Sim | 59 | 163604409 | 54.7986
50 | Sim | 53 | 1343576 | 0.452202
51 | Sim | 56 | 3264531 | 1.07098
52 | Sim | 56 | 34403577 | 11.3177
53 | Sim | 64 | 66325877 | 22.1319
54 | Sim | 56 | 7644837 | 2.53028
55 | Sim | 41 | 37017 | 0.0133682
56 | Sim | 55 | 73538508 | 25.6529
57 | Sim | 50 | 1517456 | 0.517729
58 | Sim | 51 | 807123 | 0.287312
59 | Sim | 57 | 29775340 | 10.0685
60 | Sim | 66 | 128724314 | 39.6984
61 | Sim | 45 | 353133 | 0.121701
62 | Sim | 57 | 12678220 | 4.28434
63 | Sim | 56 | 8339365 | 2.75763
64 | Sim | 51 | 17092545 | 6.24384
65 | Sim | 47 | 1032425 | 0.362266
66 | Sim | 61 | 195896756 | 65.3693
67 | Sim | 50 | 18650316 | 6.87901
68 | Sim | 51 | 3631471 | 1.27247
69 | Sim | 53 | 2375641 | 0.795909
70 | Sim | 52 | 18366462 | 6.51121
71 | Sim | 44 | 98193 | 0.0328207
72 | Sim | 56 | 25969448 | 8.62105
73 | Sim | 49 | 554601 | 0.184765
74 | Sim | 56 | 148315 | 0.0474229
75 | Sim | 48 | 3112536 | 1.1234
76 | Sim | 57 | 9145392 | 3.09154
77 | Sim | 54 | 2934209 | 0.999469
78 | Sim | 53 | 1233601 | 0.410396
79 | Sim | 42 | 48744 | 0.0166354
80 | Sim | 57 | 4474093 | 1.48687
81 | Sim | 53 | 1148638 | 0.372151
82 | Sim | 62 | 72543892 | 22.5344
83 | Sim | 49 | 1111423 | 0.371149
84 | Sim | 55 | 17350105 | 5.90712
85 | Sim | 44 | 279850 | 0.0991513
86 | Sim | 45 | 126101 | 0.0454736
87 | Sim | 52 | 3839856 | 1.24689
88 | Sim | 65 | 214.970.106 | 66.9987
89 | Sim | 54 | 8291058 | 2.90343
90 | Sim | 50 | 373443 | 0.121058
91 | Sim | 57 | 57775358 | 19.0422
92 | Sim | 57 | 31465835 | 10.2432
93 | Sim | 46 | 169161 | 0.0600561
94 | Sim | 53 | 33788 | 0.0107155
95 | Sim | 50 | 428913 | 0.146357
96 | Sim | 49 | 552905 | 0.18967
97 | Sim | 44 | 138354 | 0.0501776
98 | Sim | 54 | 63079681 | 22.2096
99 | Sim | 57 | 11029483 | 3.69412
100 | Sim | 54 | 16634512 | 5.81165
