Inst | Solucao | Custo | Estados Avaliados | Tempo (s)
-----+---------+-------+-------------------+----------
1 | Sim | 22 | 2500 | 0.000555385
2 | Sim | 23 | 3365 | 0.000739673
3 | Sim | 17 | 97 | 2.3989e-05
4 | Sim | 25 | 4028 | 0.000888462
5 | Sim | 16 | 236 | 4.8468e-05
6 | Sim | 22 | 1635 | 0.000312483
7 | Sim | 22 | 845 | 0.000148831
8 | Sim | 21 | 688 | 0.000121049
9 | Sim | 17 | 629 | 0.000195191
10 | Sim | 21 | 526 | 4.9725e-05
11 | Sim | 23 | 988 | 8.8419e-05
12 | Sim | 23 | 1940 | 0.000172487
13 | Sim | 19 | 646 | 6.2959e-05
14 | Sim | 22 | 1399 | 0.000138638
15 | Sim | 19 | 758 | 7.5561e-05
16 | Sim | 22 | 2023 | 0.000201502
17 | Sim | 20 | 937 | 9.2953e-05
18 | Sim | 21 | 77 | 8.091e-06
19 | Sim | 22 | 535 | 5.5759e-05
20 | Sim | 22 | 946 | 9.7671e-05
21 | Sim | 16 | 27 | 3.017e-06
22 | Sim | 16 | 76 | 8.396e-06
23 | Sim | 25 | 2717 | 0.000299472
24 | Sim | 22 | 806 | 9.0758e-05
25 | Sim | 23 | 1464 | 0.000162696
26 | Sim | 25 | 2677 | 0.000288187
27 | Sim | 21 | 1264 | 0.000134118
28 | Sim | 13 | 111 | 1.3218e-05
29 | Sim | 23 | 1174 | 0.000124224
30 | Sim | 24 | 521 | 4.9729e-05
31 | Sim | 24 | 1799 | 0.000169118
32 | Sim | 16 | 108 | 1.0069e-05
33 | Sim | 18 | 59 | 5.959e-06
34 | Sim | 23 | 1510 | 0.000134168
35 | Sim | 26 | 4086 | 0.000328656
36 | Sim | 27 | 6746 | 0.000504883
37 | Sim | 22 | 1062 | 7.4918e-05
38 | Sim | 26 | 5762 | 0.000380309
39 | Sim | 22 | 2145 | 0.000138477
40 | Sim | 25 | 5299 | 0.000320734
41 | Sim | 14 | 79 | 5.432e-06
42 | Sim | 25 | 3432 | 0.000203984
43 | Sim | 21 | 1777 | 0.000109305
44 | Sim | 26 | 8603 | 0.000520833
45 | Sim | 24 | 4677 | 0.000279637
46 | Sim | 24 | 715 | 4.1176e-05
47 | Sim | 18 | 143 | 8.69e-06
48 | Sim | 23 | 1771 | 0.000108818
49 | Sim | 21 | 865 | 5.2489e-05
50 | Sim | 28 | 7283 | 0.000432506
51 | Sim | 20 | 933 | 5.6977e-05
52 | Sim | 27 | 6581 | 0.000401435
53 | Sim | 19 | 483 | 3.0202e-05
54 | Sim | 26 | 2082 | 0.000124605
55 | Sim | 18 | 300 | 1.9064e-05
56 | Sim | 24 | 2410 | 0.000148493
57 | Sim | 18 | 333 | 2.1504e-05
58 | Sim | 24 | 2169 | 0.000129582
59 | Sim | 23 | 210 | 1.2421e-05
60 | Sim | 24 | 1583 | 9.483e-05
61 | Sim | 27 | 5024 | 0.000298188
62 | Sim | 25 | 10475 | 0.000635286
63 | Sim | 21 | 279 | 1.7036e-05
64 | Sim | 22 | 84 | 5.089e-06
65 | Sim | 28 | 8455 | 0.00051222
66 | Sim | 20 | 220 | 1.3608e-05
67 | Sim | 27 | 8359 | 0.000494747
68 | Sim | 27 | 7062 | 0.000426004
69 | Sim | 25 | 2595 | 0.000156546
70 | Sim | 24 | 3588 | 0.000220718
71 | Sim | 24 | 698 | 4.731e-05
72 | Sim | 22 | 965 | 5.9727e-05
73 | Sim | 27 | 9697 | 0.000589023
74 | Sim | 26 | 6290 | 0.000379519
75 | Sim | 25 | 13003 | 0.000796575
76 | Sim | 26 | 1858 | 0.000112157
77 | Sim | 20 | 355 | 2.1669e-05
78 | Sim | 26 | 8158 | 0.000491989
79 | Sim | 16 | 166 | 1.0723e-05
80 | Sim | 27 | 8294 | 0.000500484
81 | Sim | 19 | 543 | 3.3651e-05
82 | Sim | 25 | 1047 | 6.1662e-05
83 | Sim | 15 | 102 | 6.725e-06
84 | Sim | 17 | 102 | 6.495e-06
85 | Sim | 15 | 225 | 1.4009e-05
86 | Sim | 25 | 2441 | 0.000145883
87 | Sim | 17 | 108 | 6.983e-06
88 | Sim | 27 | 5895 | 0.000348624
89 | Sim | 20 | 1274 | 7.8996e-05
90 | Sim | 20 | 700 | 4.7613e-05
91 | Sim | 27 | 4657 | 0.000277936
92 | Sim | 26 | 2334 | 0.000138395
93 | Sim | 22 | 1719 | 0.000106243
94 | Sim | 22 | 1237 | 7.6072e-05
95 | Sim | 22 | 1019 | 6.7475e-05
96 | Sim | 19 | 202 | 1.2728e-05
97 | Sim | 20 | 670 | 4.2086e-05
98 | Sim | 21 | 1743 | 0.00010817
99 | Sim | 24 | 1929 | 0.000116155
100 | Sim | 25 | 2970 | 0.000178556
